date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
31/03/2020,2.3,-3.1,6.8,,,227,16.5,42.6,1025.5
01/04/2020,5.6,3.4,7.8,,,236,19.1,44.5,1008.5
02/04/2020,5.8,4.5,7.4,,,229,31.3,74.1,994.4
03/04/2020,5.3,3.2,6.9,,,278,27.5,61.1,998.4
04/04/2020,4.3,1.9,7,,,232,14.9,31.5,1018.5
05/04/2020,7.3,4.3,11.2,,,185,15.3,29.6,1027.5
06/04/2020,8.2,2.8,14.3,,,162,14.6,33.3,1022.6
07/04/2020,8.9,6.3,12.3,,,238,17.7,40.8,1025.4
08/04/2020,8.2,3.8,12.4,,,199,15.4,35.2,1025.3
09/04/2020,8.3,5,10.6,,,291,15.9,33.3,1020
10/04/2020,5.2,-0.1,10.2,,,322,7.4,18.5,1024.9
11/04/2020,4.3,-0.5,8.7,,,176,12.1,33.3,1024.1
12/04/2020,7.7,5.8,9.8,,,219,24.4,53.7,1008.5
13/04/2020,5.9,3.2,7.7,,,322,27.4,57.4,1010.3
14/04/2020,4.8,0.5,8.3,,,304,19.4,37,1016.5
15/04/2020,9,6.7,12,,,253,25.9,57.4,1010.3
16/04/2020,9.5,6,11.8,,,291,21.4,51.8,1011
17/04/2020,6,1.6,10,,,359,13.5,27.8,1019.9
18/04/2020,5.6,0.9,10.1,,,11,14.6,29.6,1022.8
19/04/2020,7.2,0.9,12.8,,,5,11.2,24.1,1026.6
20/04/2020,9.4,2.6,15.7,,,15,11.4,24.1,1029.7
21/04/2020,10.9,4.4,17.2,,,32,10.1,24.1,1032.1
22/04/2020,11.5,4.5,17.8,,,344,7.6,20.4,1031.1
23/04/2020,10.7,4.8,15.8,,,236,10,25.9,1022.6
24/04/2020,8.7,4.2,13,,,31,16.2,42.6,1008.7
25/04/2020,7.9,4.2,11.1,,,349,15.8,33.3,1010.2
26/04/2020,7.5,2.6,12.1,,,213,10.8,24.1,1008.8
27/04/2020,6.7,4.9,8.2,,,189,11,27.8,1006.2
28/04/2020,5.9,3.3,8.4,,,320,10.7,31.5,1005.4
29/04/2020,4.7,2.3,7.5,,,74,11.4,25.9,1009
30/04/2020,3.9,2.3,5.3,,,94,14.5,38.9,1005.2
01/05/2020,7,4.3,10.2,,,106,6.5,20.4,999.5
02/05/2020,7.6,4.8,9.9,,,17,7.9,24.1,1001.4
03/05/2020,9.3,5.9,13.4,,,256,10.5,31.5,1008.7
04/05/2020,7.6,5.3,10.1,,,312,14.9,33.3,1014.2
05/05/2020,7.8,2.7,11.8,,,354,17.2,38.9,1019.9
06/05/2020,8.1,3,12.2,,,258,14.1,33.3,1018
07/05/2020,9.7,4.9,13.5,,,312,11.8,25.9,1017.4
08/05/2020,9.6,6.7,12.5,,,236,18.6,38.9,1013.1
09/05/2020,9.6,5.8,12.7,,,232,11.8,24.1,1013.5
10/05/2020,8.3,5.9,11,,,229,16.1,33.3,1006.5
11/05/2020,5.8,2.7,8.4,,,340,22.4,40.8,1010.6
12/05/2020,4.9,1.3,8.1,,,259,19.6,50,1006.3
